,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
0,0.01,0.0002,0.01,100,0.2666666805744171,6.691805601119995
1,0.01,0.0002,0.01,500,0.2666666805744171,9.475716352462769
2,0.01,0.0002,0.01,2500,0.5,20.093862056732178
3,0.01,0.0002,0.1,100,0.46666666865348816,7.328617572784424
4,0.01,0.0002,0.1,500,0.2666666805744171,10.55075740814209
5,0.01,0.0002,0.1,2500,0.2666666805744171,20.756750106811523
6,0.01,0.0002,1.0,100,0.7333333492279053,7.4204261302948
7,0.01,0.0002,1.0,500,0.2666666805744171,9.078148365020752
8,0.01,0.0002,1.0,2500,0.2666666805744171,20.954794883728027
9,0.01,0.0002,10.0,100,0.03333333507180214,7.096574068069458
10,0.01,0.0002,10.0,500,0.5333333611488342,9.07522201538086
11,0.01,0.0002,10.0,2500,0.2666666805744171,19.94288158416748
12,0.01,0.0008,0.01,100,0.13333334028720856,7.3737897872924805
13,0.01,0.0008,0.01,500,0.6333333253860474,9.97169804573059
14,0.01,0.0008,0.01,2500,0.20000000298023224,20.72921395301819
15,0.01,0.0008,0.1,100,0.03333333507180214,6.933883905410767
16,0.01,0.0008,0.1,500,0.46666666865348816,9.863433837890625
17,0.01,0.0008,0.1,2500,0.699999988079071,20.081733465194702
18,0.01,0.0008,1.0,100,0.5333333611488342,7.471141815185547
19,0.01,0.0008,1.0,500,0.2666666805744171,9.426021575927734
20,0.01,0.0008,1.0,2500,0.5333333611488342,20.14583396911621
21,0.01,0.0008,10.0,100,0.46666666865348816,7.711542844772339
22,0.01,0.0008,10.0,500,0.699999988079071,9.23854112625122
23,0.01,0.0008,10.0,2500,0.2666666805744171,20.51392364501953
24,0.01,0.0032,0.01,100,0.46666666865348816,6.8983154296875
25,0.01,0.0032,0.01,500,0.7666666507720947,9.606396436691284
26,0.01,0.0032,0.01,2500,0.9666666388511658,20.480607271194458
27,0.01,0.0032,0.1,100,0.5333333611488342,7.291825532913208
28,0.01,0.0032,0.1,500,0.5333333611488342,9.666874885559082
29,0.01,0.0032,0.1,2500,0.9333333373069763,20.465250492095947
30,0.01,0.0032,1.0,100,0.5333333611488342,7.570302963256836
31,0.01,0.0032,1.0,500,0.8333333134651184,9.171329259872437
32,0.01,0.0032,1.0,2500,0.9666666388511658,20.845094680786133
33,0.01,0.0032,10.0,100,0.5333333611488342,7.711804389953613
34,0.01,0.0032,10.0,500,0.5333333611488342,9.16507863998413
35,0.01,0.0032,10.0,2500,0.5333333611488342,20.86068630218506
36,0.01,0.0128,0.01,100,0.8333333134651184,8.002617835998535
37,0.01,0.0128,0.01,500,0.9666666388511658,9.156380653381348
38,0.01,0.0128,0.01,2500,1.0,20.039425373077393
39,0.01,0.0128,0.1,100,0.9333333373069763,7.539984941482544
40,0.01,0.0128,0.1,500,1.0,9.348365306854248
41,0.01,0.0128,0.1,2500,0.9666666388511658,20.701839208602905
42,0.01,0.0128,1.0,100,0.5666666626930237,8.077679634094238
43,0.01,0.0128,1.0,500,0.9666666388511658,9.522684097290039
44,0.01,0.0128,1.0,2500,0.9666666388511658,23.846946477890015
45,0.01,0.0128,10.0,100,0.5333333611488342,7.219038963317871
46,0.01,0.0128,10.0,500,0.2666666805744171,10.853810787200928
47,0.01,0.0128,10.0,2500,0.5333333611488342,28.06805443763733
48,0.01,0.0512,0.01,100,0.9666666388511658,9.874675750732422
49,0.01,0.0512,0.01,500,0.9666666388511658,11.072979211807251
50,0.01,0.0512,0.01,2500,0.9666666388511658,21.75788450241089
51,0.01,0.0512,0.1,100,0.9666666388511658,8.331712007522583
52,0.01,0.0512,0.1,500,0.9333333373069763,9.33185076713562
53,0.01,0.0512,0.1,2500,0.9666666388511658,22.0010085105896
54,0.01,0.0512,1.0,100,0.9666666388511658,6.95497465133667
55,0.01,0.0512,1.0,500,0.9666666388511658,10.262272834777832
56,0.01,0.0512,1.0,2500,0.9666666388511658,21.962265968322754
57,0.01,0.0512,10.0,100,0.2666666805744171,7.37299108505249
58,0.01,0.0512,10.0,500,0.2666666805744171,9.865100860595703
59,0.01,0.0512,10.0,2500,0.2666666805744171,21.301426887512207
60,0.01,0.2048,0.01,100,0.9666666388511658,7.843415021896362
61,0.01,0.2048,0.01,500,0.9666666388511658,9.820817232131958
62,0.01,0.2048,0.01,2500,0.9666666388511658,21.450670957565308
63,0.01,0.2048,0.1,100,0.7333333492279053,7.315420150756836
64,0.01,0.2048,0.1,500,0.9666666388511658,10.113280534744263
65,0.01,0.2048,0.1,2500,0.9666666388511658,21.1031436920166
66,0.01,0.2048,1.0,100,0.8999999761581421,8.258895874023438
67,0.01,0.2048,1.0,500,0.9333333373069763,9.41895055770874
68,0.01,0.2048,1.0,2500,0.9666666388511658,27.556025505065918
69,0.01,0.2048,10.0,100,0.2666666805744171,8.324795722961426
70,0.01,0.2048,10.0,500,0.2666666805744171,9.775129556655884
71,0.01,0.2048,10.0,2500,0.2666666805744171,22.101633310317993
72,0.05,0.0002,0.01,100,0.2666666805744171,7.176157712936401
73,0.05,0.0002,0.01,500,0.2666666805744171,10.241446256637573
74,0.05,0.0002,0.01,2500,0.30000001192092896,20.64652442932129
75,0.05,0.0002,0.1,100,0.2666666805744171,7.713674306869507
76,0.05,0.0002,0.1,500,0.46666666865348816,10.859585523605347
77,0.05,0.0002,0.1,2500,0.5666666626930237,20.64247155189514
78,0.05,0.0002,1.0,100,0.2666666805744171,7.692748785018921
79,0.05,0.0002,1.0,500,0.2666666805744171,15.0123291015625
80,0.05,0.0002,1.0,2500,0.46666666865348816,21.692251205444336
81,0.05,0.0002,10.0,100,0.46666666865348816,7.476037263870239
82,0.05,0.0002,10.0,500,0.2666666805744171,8.953732013702393
83,0.05,0.0002,10.0,2500,0.2666666805744171,21.690427541732788
84,0.05,0.0008,0.01,100,0.2666666805744171,8.032175779342651
85,0.05,0.0008,0.01,500,0.2666666805744171,9.530943155288696
86,0.05,0.0008,0.01,2500,0.46666666865348816,21.04715657234192
87,0.05,0.0008,0.1,100,0.10000000149011612,6.969889163970947
88,0.05,0.0008,0.1,500,0.6000000238418579,10.025585174560547
89,0.05,0.0008,0.1,2500,0.800000011920929,20.538955211639404
90,0.05,0.0008,1.0,100,0.5,8.226268529891968
91,0.05,0.0008,1.0,500,0.46666666865348816,9.656111001968384
92,0.05,0.0008,1.0,2500,0.46666666865348816,22.334086656570435
93,0.05,0.0008,10.0,100,0.2666666805744171,7.07788610458374
94,0.05,0.0008,10.0,500,0.2666666805744171,9.832910537719727
95,0.05,0.0008,10.0,2500,0.5,21.159076690673828
96,0.05,0.0032,0.01,100,0.699999988079071,9.427019596099854
97,0.05,0.0032,0.01,500,0.5333333611488342,9.687931060791016
98,0.05,0.0032,0.01,2500,0.9333333373069763,21.874679565429688
99,0.05,0.0032,0.1,100,0.5,6.773555517196655
100,0.05,0.0032,0.1,500,0.800000011920929,10.325307369232178
101,0.05,0.0032,0.1,2500,0.9666666388511658,20.33699655532837
102,0.05,0.0032,1.0,100,0.2666666805744171,8.085151195526123
103,0.05,0.0032,1.0,500,0.6000000238418579,9.98724102973938
104,0.05,0.0032,1.0,2500,0.8666666746139526,22.174572944641113
105,0.05,0.0032,10.0,100,0.5,7.731306552886963
106,0.05,0.0032,10.0,500,0.4000000059604645,9.557866334915161
107,0.05,0.0032,10.0,2500,0.2666666805744171,21.22088122367859
108,0.05,0.0128,0.01,100,0.699999988079071,7.4768617153167725
109,0.05,0.0128,0.01,500,0.9666666388511658,10.566850900650024
110,0.05,0.0128,0.01,2500,1.0,21.135591983795166
111,0.05,0.0128,0.1,100,0.5333333611488342,7.930122137069702
112,0.05,0.0128,0.1,500,0.9666666388511658,10.186811208724976
113,0.05,0.0128,0.1,2500,0.9333333373069763,20.87421417236328
114,0.05,0.0128,1.0,100,0.5333333611488342,7.452728271484375
115,0.05,0.0128,1.0,500,0.8999999761581421,10.28404450416565
116,0.05,0.0128,1.0,2500,0.9666666388511658,20.42298150062561
117,0.05,0.0128,10.0,100,0.2666666805744171,7.747650384902954
118,0.05,0.0128,10.0,500,0.7333333492279053,10.000449657440186
119,0.05,0.0128,10.0,2500,0.5333333611488342,22.129614114761353
120,0.05,0.0512,0.01,100,0.9666666388511658,7.807722091674805
121,0.05,0.0512,0.01,500,0.9666666388511658,10.013299226760864
122,0.05,0.0512,0.01,2500,0.9666666388511658,23.313746213912964
123,0.05,0.0512,0.1,100,1.0,8.887134313583374
124,0.05,0.0512,0.1,500,0.9666666388511658,13.314220190048218
125,0.05,0.0512,0.1,2500,0.9666666388511658,23.47700524330139
126,0.05,0.0512,1.0,100,0.9333333373069763,7.783710718154907
127,0.05,0.0512,1.0,500,0.9666666388511658,9.650835037231445
128,0.05,0.0512,1.0,2500,0.9666666388511658,22.30957794189453
129,0.05,0.0512,10.0,100,0.5333333611488342,7.999624967575073
130,0.05,0.0512,10.0,500,0.2666666805744171,10.36287260055542
131,0.05,0.0512,10.0,2500,0.2666666805744171,20.08321189880371
132,0.05,0.2048,0.01,100,0.9333333373069763,7.603022813796997
133,0.05,0.2048,0.01,500,0.9666666388511658,9.770191669464111
134,0.05,0.2048,0.01,2500,0.9666666388511658,21.21911859512329
135,0.05,0.2048,0.1,100,0.9333333373069763,7.662291765213013
136,0.05,0.2048,0.1,500,0.9333333373069763,9.822225332260132
137,0.05,0.2048,0.1,2500,0.9666666388511658,21.1896014213562
138,0.05,0.2048,1.0,100,0.8333333134651184,7.8649022579193115
139,0.05,0.2048,1.0,500,0.9666666388511658,9.73645830154419
140,0.05,0.2048,1.0,2500,0.9666666388511658,20.99698805809021
141,0.05,0.2048,10.0,100,0.2666666805744171,7.628249406814575
142,0.05,0.2048,10.0,500,0.2666666805744171,9.658413887023926
143,0.05,0.2048,10.0,2500,0.2666666805744171,22.689939498901367
144,0.1,0.0002,0.01,100,0.46666666865348816,9.262292385101318
145,0.1,0.0002,0.01,500,0.4333333373069763,10.15052604675293
146,0.1,0.0002,0.01,2500,0.2666666805744171,22.257718801498413
147,0.1,0.0002,0.1,100,0.2666666805744171,7.53681206703186
148,0.1,0.0002,0.1,500,0.03333333507180214,10.081345796585083
149,0.1,0.0002,0.1,2500,0.2666666805744171,21.558039665222168
150,0.1,0.0002,1.0,100,0.2666666805744171,7.5657570362091064
151,0.1,0.0002,1.0,500,0.46666666865348816,9.541510581970215
152,0.1,0.0002,1.0,2500,0.7333333492279053,21.52644658088684
153,0.1,0.0002,10.0,100,0.5333333611488342,7.674474239349365
154,0.1,0.0002,10.0,500,0.2666666805744171,10.010471105575562
155,0.1,0.0002,10.0,2500,0.5333333611488342,22.403767585754395
156,0.1,0.0008,0.01,100,0.46666666865348816,7.941213130950928
157,0.1,0.0008,0.01,500,0.2666666805744171,10.14981484413147
158,0.1,0.0008,0.01,2500,0.5333333611488342,20.626797676086426
159,0.1,0.0008,0.1,100,0.1666666716337204,7.644243955612183
160,0.1,0.0008,0.1,500,0.23333333432674408,10.14660930633545
161,0.1,0.0008,0.1,2500,0.4333333373069763,22.254544734954834
162,0.1,0.0008,1.0,100,0.46666666865348816,8.602904081344604
163,0.1,0.0008,1.0,500,0.5666666626930237,9.598072290420532
164,0.1,0.0008,1.0,2500,0.5333333611488342,20.847209930419922
165,0.1,0.0008,10.0,100,0.2666666805744171,7.521539688110352
166,0.1,0.0008,10.0,500,0.2666666805744171,9.819555759429932
167,0.1,0.0008,10.0,2500,0.8666666746139526,20.54262948036194
168,0.1,0.0032,0.01,100,0.5333333611488342,7.662327766418457
169,0.1,0.0032,0.01,500,0.2666666805744171,9.872235298156738
170,0.1,0.0032,0.01,2500,1.0,21.35321354866028
171,0.1,0.0032,0.1,100,0.5333333611488342,7.404425382614136
172,0.1,0.0032,0.1,500,0.6666666865348816,10.314899682998657
173,0.1,0.0032,0.1,2500,0.9666666388511658,23.092101573944092
174,0.1,0.0032,1.0,100,0.4333333373069763,7.3020899295806885
175,0.1,0.0032,1.0,500,0.6000000238418579,10.050407886505127
176,0.1,0.0032,1.0,2500,0.9333333373069763,21.17769169807434
177,0.1,0.0032,10.0,100,0.46666666865348816,7.057723522186279
178,0.1,0.0032,10.0,500,0.5333333611488342,9.318950891494751
179,0.1,0.0032,10.0,2500,0.2666666805744171,21.760066032409668
180,0.1,0.0128,0.01,100,0.5666666626930237,7.234889507293701
181,0.1,0.0128,0.01,500,0.9666666388511658,10.037329196929932
182,0.1,0.0128,0.01,2500,0.9666666388511658,21.73691987991333
183,0.1,0.0128,0.1,100,0.9666666388511658,8.467725276947021
184,0.1,0.0128,0.1,500,0.9666666388511658,10.341650247573853
185,0.1,0.0128,0.1,2500,0.9666666388511658,21.841100692749023
186,0.1,0.0128,1.0,100,0.9333333373069763,7.153411626815796
187,0.1,0.0128,1.0,500,0.9333333373069763,9.82236385345459
188,0.1,0.0128,1.0,2500,0.9666666388511658,20.335075616836548
189,0.1,0.0128,10.0,100,0.5333333611488342,7.277535915374756
190,0.1,0.0128,10.0,500,0.5333333611488342,10.074260473251343
191,0.1,0.0128,10.0,2500,0.2666666805744171,21.682941198349
192,0.1,0.0512,0.01,100,0.8999999761581421,7.960260391235352
193,0.1,0.0512,0.01,500,0.9666666388511658,9.422099590301514
194,0.1,0.0512,0.01,2500,0.9666666388511658,21.457622051239014
195,0.1,0.0512,0.1,100,0.9666666388511658,7.41124963760376
196,0.1,0.0512,0.1,500,0.9666666388511658,10.276044130325317
197,0.1,0.0512,0.1,2500,0.9666666388511658,21.043490409851074
198,0.1,0.0512,1.0,100,0.9333333373069763,7.5388123989105225
199,0.1,0.0512,1.0,500,0.9333333373069763,9.526667594909668
200,0.1,0.0512,1.0,2500,0.9666666388511658,20.97301411628723
201,0.1,0.0512,10.0,100,0.2666666805744171,7.729099273681641
202,0.1,0.0512,10.0,500,0.2666666805744171,9.920822381973267
203,0.1,0.0512,10.0,2500,0.5333333611488342,20.778258323669434
204,0.1,0.2048,0.01,100,0.6666666865348816,7.09411883354187
205,0.1,0.2048,0.01,500,0.9666666388511658,10.099013566970825
206,0.1,0.2048,0.01,2500,0.9666666388511658,20.53686547279358
207,0.1,0.2048,0.1,100,0.9333333373069763,8.724807024002075
208,0.1,0.2048,0.1,500,0.9333333373069763,9.555353164672852
209,0.1,0.2048,0.1,2500,0.9333333373069763,21.31973147392273
210,0.1,0.2048,1.0,100,0.8999999761581421,7.846636772155762
211,0.1,0.2048,1.0,500,0.9666666388511658,9.45226240158081
212,0.1,0.2048,1.0,2500,0.9333333373069763,21.266135215759277
213,0.1,0.2048,10.0,100,0.2666666805744171,7.526184558868408
214,0.1,0.2048,10.0,500,0.2666666805744171,10.204630374908447
215,0.1,0.2048,10.0,2500,0.2666666805744171,21.16989016532898
