,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
0,0.01,0.0002,0.01,100,0.2666666805744171,6.579509019851685
1,0.01,0.0002,0.01,500,0.2666666805744171,9.084905862808228
2,0.01,0.0002,0.01,2500,0.2666666805744171,19.098795175552368
3,0.01,0.0002,0.1,100,0.2666666805744171,6.999017238616943
4,0.01,0.0002,0.1,500,0.30000001192092896,8.634500741958618
5,0.01,0.0002,0.1,2500,0.46666666865348816,18.603963136672974
6,0.01,0.0002,1.0,100,0.2666666805744171,6.754703044891357
7,0.01,0.0002,1.0,500,0.2666666805744171,8.809044361114502
8,0.01,0.0002,1.0,2500,0.2666666805744171,19.147817134857178
9,0.01,0.0002,10.0,100,0.2666666805744171,6.79799485206604
10,0.01,0.0002,10.0,500,0.2666666805744171,8.493264198303223
11,0.01,0.0002,10.0,2500,0.6666666865348816,19.49048376083374
12,0.01,0.0008,0.01,100,0.2666666805744171,7.389348030090332
13,0.01,0.0008,0.01,500,0.2666666805744171,8.989016771316528
14,0.01,0.0008,0.01,2500,0.2666666805744171,18.74647092819214
15,0.01,0.0008,0.1,100,0.6000000238418579,6.965756177902222
16,0.01,0.0008,0.1,500,0.46666666865348816,8.99563980102539
17,0.01,0.0008,0.1,2500,0.3333333432674408,18.673349618911743
18,0.01,0.0008,1.0,100,0.2666666805744171,7.068874359130859
19,0.01,0.0008,1.0,500,0.2666666805744171,8.642951488494873
20,0.01,0.0008,1.0,2500,0.6666666865348816,18.6179461479187
21,0.01,0.0008,10.0,100,0.2666666805744171,6.764272212982178
22,0.01,0.0008,10.0,500,0.2666666805744171,8.923043966293335
23,0.01,0.0008,10.0,2500,0.2666666805744171,18.96270751953125
24,0.01,0.0032,0.01,100,0.5,6.974793195724487
25,0.01,0.0032,0.01,500,0.5,8.977755784988403
26,0.01,0.0032,0.01,2500,0.5333333611488342,18.945213556289673
27,0.01,0.0032,0.1,100,0.2666666805744171,6.740991592407227
28,0.01,0.0032,0.1,500,0.5333333611488342,8.721358060836792
29,0.01,0.0032,0.1,2500,0.9666666388511658,19.13531231880188
30,0.01,0.0032,1.0,100,0.2666666805744171,6.992697477340698
31,0.01,0.0032,1.0,500,0.7333333492279053,8.820126295089722
32,0.01,0.0032,1.0,2500,0.5333333611488342,19.228787422180176
33,0.01,0.0032,10.0,100,0.2666666805744171,6.621476888656616
34,0.01,0.0032,10.0,500,0.2666666805744171,9.273364305496216
35,0.01,0.0032,10.0,2500,0.2666666805744171,19.34572196006775
36,0.01,0.0128,0.01,100,0.6333333253860474,6.573558807373047
37,0.01,0.0128,0.01,500,0.5333333611488342,9.562076330184937
38,0.01,0.0128,0.01,2500,0.9666666388511658,19.25804328918457
39,0.01,0.0128,0.1,100,0.8999999761581421,6.506752014160156
40,0.01,0.0128,0.1,500,0.9666666388511658,8.833712577819824
41,0.01,0.0128,0.1,2500,0.9333333373069763,19.202391624450684
42,0.01,0.0128,1.0,100,0.5666666626930237,6.592077732086182
43,0.01,0.0128,1.0,500,1.0,8.757007598876953
44,0.01,0.0128,1.0,2500,0.9666666388511658,19.342064380645752
45,0.01,0.0128,10.0,100,0.5333333611488342,6.661964416503906
46,0.01,0.0128,10.0,500,0.2666666805744171,8.710038423538208
47,0.01,0.0128,10.0,2500,0.2666666805744171,19.11857318878174
48,0.01,0.0512,0.01,100,0.9333333373069763,6.865736722946167
49,0.01,0.0512,0.01,500,1.0,8.735857963562012
50,0.01,0.0512,0.01,2500,0.9666666388511658,18.71162438392639
51,0.01,0.0512,0.1,100,0.9666666388511658,6.600522756576538
52,0.01,0.0512,0.1,500,0.9666666388511658,8.723987817764282
53,0.01,0.0512,0.1,2500,0.9333333373069763,19.0308837890625
54,0.01,0.0512,1.0,100,0.8999999761581421,6.8420937061309814
55,0.01,0.0512,1.0,500,0.5333333611488342,8.605956792831421
56,0.01,0.0512,1.0,2500,0.9666666388511658,19.183452367782593
57,0.01,0.0512,10.0,100,0.4333333373069763,6.892865419387817
58,0.01,0.0512,10.0,500,0.2666666805744171,9.260380268096924
59,0.01,0.0512,10.0,2500,0.2666666805744171,19.1075222492218
60,0.01,0.2048,0.01,100,0.9666666388511658,6.618320941925049
61,0.01,0.2048,0.01,500,0.2666666805744171,8.588236570358276
62,0.01,0.2048,0.01,2500,0.9666666388511658,19.38289165496826
63,0.01,0.2048,0.1,100,0.9333333373069763,6.874636650085449
64,0.01,0.2048,0.1,500,0.2666666805744171,8.939928770065308
65,0.01,0.2048,0.1,2500,0.9666666388511658,19.351954698562622
66,0.01,0.2048,1.0,100,0.2666666805744171,7.04742693901062
67,0.01,0.2048,1.0,500,0.2666666805744171,8.740563154220581
68,0.01,0.2048,1.0,2500,0.9333333373069763,18.972078323364258
69,0.01,0.2048,10.0,100,0.2666666805744171,6.770596265792847
70,0.01,0.2048,10.0,500,0.2666666805744171,8.927367687225342
