,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
0,0.01,0.0002,0.01,100,0.4666666686534882,7.2757346630096436,-1
1,0.01,0.0002,0.01,500,0.4666666686534882,10.801194190979004,-1
2,0.01,0.0002,0.01,2500,0.2666666805744171,21.34240698814392,-1
3,0.01,0.0002,0.1,100,0.4666666686534882,6.794187784194946,-1
4,0.01,0.0002,0.1,500,0.4666666686534882,9.2191264629364,-1
5,0.01,0.0002,0.1,2500,0.2666666805744171,21.20000720024109,-1
6,0.01,0.0002,1.0,100,0.4666666686534882,6.820384502410889,-1
7,0.01,0.0002,1.0,500,0.2666666805744171,9.564777374267578,-1
8,0.01,0.0002,1.0,2500,0.2666666805744171,22.285081148147587,-1
9,0.01,0.0002,10.0,100,0.2666666805744171,7.04999589920044,-1
10,0.01,0.0002,10.0,500,0.2666666805744171,8.504356622695923,-1
11,0.01,0.0002,10.0,2500,0.2666666805744171,19.190622329711914,-1
12,0.01,0.0008,0.01,100,0.4666666686534882,6.628746271133423,-1
13,0.01,0.0008,0.01,500,0.4666666686534882,8.851837158203125,-1
14,0.01,0.0008,0.01,2500,0.4666666686534882,18.663957595825195,-1
15,0.01,0.0008,0.1,100,0.4666666686534882,6.83159327507019,-1
16,0.01,0.0008,0.1,500,0.2666666805744171,8.634133815765379,-1
17,0.01,0.0008,0.1,2500,0.2666666805744171,19.39724898338318,-1
18,0.01,0.0008,1.0,100,0.4666666686534882,6.478776216506957,-1
19,0.01,0.0008,1.0,500,0.2666666805744171,8.892713069915771,-1
20,0.01,0.0008,1.0,2500,0.2666666805744171,18.544566869735718,-1
21,0.01,0.0008,10.0,100,0.2666666805744171,6.907022953033447,-1
22,0.01,0.0008,10.0,500,0.2666666805744171,8.634886980056763,-1
23,0.01,0.0008,10.0,2500,0.2666666805744171,19.49355340003968,-1
24,0.01,0.0032,0.01,100,0.2666666805744171,6.396085500717162,-1
25,0.01,0.0032,0.01,500,0.5333333611488342,8.806204557418821,0
26,0.01,0.0032,0.01,2500,0.5333333611488342,18.898038864135746,0
27,0.01,0.0032,0.1,100,0.4666666686534882,6.802748203277588,-1
28,0.01,0.0032,0.1,500,0.2666666805744171,8.375676870346071,-1
29,0.01,0.0032,0.1,2500,0.5333333611488342,19.1083459854126,0
30,0.01,0.0032,1.0,100,0.4666666686534882,6.518511533737183,-1
31,0.01,0.0032,1.0,500,0.2666666805744171,8.801918745040895,-1
32,0.01,0.0032,1.0,2500,0.2666666805744171,19.31402611732483,-1
33,0.01,0.0032,10.0,100,0.4666666686534882,6.5479254722595215,-1
