,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
0,0.01,0.0002,0.01,100,0.46666666865348816,6.7093212604522705
1,0.01,0.0002,0.01,500,0.5666666626930237,10.116145133972168
2,0.01,0.0002,0.01,2500,0.46666666865348816,20.873255252838135
3,0.01,0.0002,0.1,100,0.7333333492279053,8.113105773925781
4,0.01,0.0002,0.1,500,0.0,10.007829189300537
5,0.01,0.0002,0.1,2500,0.4333333373069763,21.253207445144653
6,0.01,0.0002,1.0,100,0.46666666865348816,7.503400087356567
7,0.01,0.0002,1.0,500,0.20000000298023224,10.979249715805054
8,0.01,0.0002,1.0,2500,0.2666666805744171,23.54429817199707
9,0.01,0.0002,10.0,100,0.2666666805744171,7.820700407028198
10,0.01,0.0002,10.0,500,0.46666666865348816,12.203452110290527
11,0.01,0.0002,10.0,2500,0.2666666805744171,21.98525309562683
12,0.01,0.0008,0.01,100,0.2666666805744171,7.261950492858887
13,0.01,0.0008,0.01,500,0.5333333611488342,9.6078200340271
14,0.01,0.0008,0.01,2500,0.3333333432674408,24.2211811542511
15,0.01,0.0008,0.1,100,0.2666666805744171,7.045164108276367
16,0.01,0.0008,0.1,500,0.2666666805744171,10.149916887283325
17,0.01,0.0008,0.1,2500,0.7333333492279053,24.285463571548462
18,0.01,0.0008,1.0,100,0.46666666865348816,9.875803470611572
19,0.01,0.0008,1.0,500,0.2666666805744171,14.344054222106934
20,0.01,0.0008,1.0,2500,0.5666666626930237,23.831671476364136
21,0.01,0.0008,10.0,100,0.5333333611488342,8.537384271621704
22,0.01,0.0008,10.0,500,0.5333333611488342,10.657368898391724
23,0.01,0.0008,10.0,2500,0.2666666805744171,25.87379503250122
24,0.01,0.0032,0.01,100,0.6000000238418579,8.457507133483887
25,0.01,0.0032,0.01,500,0.800000011920929,10.968935489654541
26,0.01,0.0032,0.01,2500,0.9666666388511658,26.493533849716187
27,0.01,0.0032,0.1,100,0.5333333611488342,7.85665488243103
28,0.01,0.0032,0.1,500,0.6333333253860474,10.573103666305542
29,0.01,0.0032,0.1,2500,0.9666666388511658,23.728583097457886
30,0.01,0.0032,1.0,100,0.5666666626930237,11.008527517318726
31,0.01,0.0032,1.0,500,0.800000011920929,13.602553606033325
32,0.01,0.0032,1.0,2500,0.9666666388511658,27.313090324401855
33,0.01,0.0032,10.0,100,0.23333333432674408,10.045592308044434
