,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
0,0.01,0.0002,0.01,100,0.2666666805744171,6.691805601119995,0
1,0.01,0.0002,0.01,500,0.2666666805744171,9.475716352462767,0
2,0.01,0.0002,0.01,2500,0.5,20.093862056732174,1
3,0.01,0.0002,0.1,100,0.4666666686534882,7.328617572784424,0
4,0.01,0.0002,0.1,500,0.2666666805744171,10.55075740814209,0
5,0.01,0.0002,0.1,2500,0.2666666805744171,20.756750106811523,0
6,0.01,0.0002,1.0,100,0.7333333492279053,7.4204261302948,1
7,0.01,0.0002,1.0,500,0.2666666805744171,9.078148365020752,0
8,0.01,0.0002,1.0,2500,0.2666666805744171,20.954794883728027,0
9,0.01,0.0002,10.0,100,0.03333333507180214,7.096574068069457,0
10,0.01,0.0002,10.0,500,0.5333333611488342,9.07522201538086,1
11,0.01,0.0002,10.0,2500,0.2666666805744171,19.94288158416748,0
12,0.01,0.0008,0.01,100,0.13333334028720856,7.37378978729248,0
13,0.01,0.0008,0.01,500,0.6333333253860474,9.971698045730589,1
14,0.01,0.0008,0.01,2500,0.20000000298023224,20.729213953018192,0
15,0.01,0.0008,0.1,100,0.03333333507180214,6.9338839054107675,0
16,0.01,0.0008,0.1,500,0.4666666686534882,9.863433837890623,0
17,0.01,0.0008,0.1,2500,0.699999988079071,20.081733465194702,1
18,0.01,0.0008,1.0,100,0.5333333611488342,7.471141815185548,1
19,0.01,0.0008,1.0,500,0.2666666805744171,9.426021575927734,0
20,0.01,0.0008,1.0,2500,0.5333333611488342,20.14583396911621,1
21,0.01,0.0008,10.0,100,0.4666666686534882,7.711542844772339,0
22,0.01,0.0008,10.0,500,0.699999988079071,9.23854112625122,1
23,0.01,0.0008,10.0,2500,0.2666666805744171,20.51392364501953,0
24,0.01,0.0032,0.01,100,0.4666666686534882,6.8983154296875,0
25,0.01,0.0032,0.01,500,0.7666666507720947,9.606396436691282,1
26,0.01,0.0032,0.01,2500,0.9666666388511658,20.480607271194454,2
27,0.01,0.0032,0.1,100,0.5333333611488342,7.291825532913207,1
28,0.01,0.0032,0.1,500,0.5333333611488342,9.666874885559082,1
29,0.01,0.0032,0.1,2500,0.9333333373069764,20.46525049209595,2
30,0.01,0.0032,1.0,100,0.5333333611488342,7.570302963256836,1
31,0.01,0.0032,1.0,500,0.8333333134651184,9.171329259872435,2
32,0.01,0.0032,1.0,2500,0.9666666388511658,20.845094680786133,2
33,0.01,0.0032,10.0,100,0.5333333611488342,7.711804389953612,1
34,0.01,0.0032,10.0,500,0.5333333611488342,9.16507863998413,1
35,0.01,0.0032,10.0,2500,0.5333333611488342,20.86068630218506,1
36,0.01,0.0128,0.01,100,0.8333333134651184,8.002617835998535,2
37,0.01,0.0128,0.01,500,0.9666666388511658,9.156380653381348,2
38,0.01,0.0128,0.01,2500,1.0,20.039425373077396,2
39,0.01,0.0128,0.1,100,0.9333333373069764,7.539984941482544,2
