,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
0,0.01,0.0002,0.01,100,0.2666666805744171,6.579509019851685,0
1,0.01,0.0002,0.01,500,0.2666666805744171,9.084905862808226,0
2,0.01,0.0002,0.01,2500,0.2666666805744171,19.098795175552368,0
3,0.01,0.0002,0.1,100,0.2666666805744171,6.9990172386169425,0
4,0.01,0.0002,0.1,500,0.30000001192092896,8.634500741958616,0
5,0.01,0.0002,0.1,2500,0.4666666686534882,18.603963136672974,0
6,0.01,0.0002,1.0,100,0.2666666805744171,6.754703044891357,0
7,0.01,0.0002,1.0,500,0.2666666805744171,8.809044361114502,0
8,0.01,0.0002,1.0,2500,0.2666666805744171,19.147817134857174,0
9,0.01,0.0002,10.0,100,0.2666666805744171,6.79799485206604,0
10,0.01,0.0002,10.0,500,0.2666666805744171,8.493264198303223,0
11,0.01,0.0002,10.0,2500,0.6666666865348816,19.490483760833737,1
12,0.01,0.0008,0.01,100,0.2666666805744171,7.389348030090332,0
13,0.01,0.0008,0.01,500,0.2666666805744171,8.989016771316527,0
14,0.01,0.0008,0.01,2500,0.2666666805744171,18.746470928192142,0
15,0.01,0.0008,0.1,100,0.6000000238418579,6.965756177902223,1
16,0.01,0.0008,0.1,500,0.4666666686534882,8.99563980102539,0
17,0.01,0.0008,0.1,2500,0.3333333432674408,18.673349618911747,0
18,0.01,0.0008,1.0,100,0.2666666805744171,7.0688743591308585,0
19,0.01,0.0008,1.0,500,0.2666666805744171,8.642951488494871,0
20,0.01,0.0008,1.0,2500,0.6666666865348816,18.617946147918698,1
21,0.01,0.0008,10.0,100,0.2666666805744171,6.764272212982178,0
22,0.01,0.0008,10.0,500,0.2666666805744171,8.923043966293337,0
23,0.01,0.0008,10.0,2500,0.2666666805744171,18.96270751953125,0
24,0.01,0.0032,0.01,100,0.5,6.974793195724487,1
25,0.01,0.0032,0.01,500,0.5,8.977755784988402,1
26,0.01,0.0032,0.01,2500,0.5333333611488342,18.945213556289676,1
27,0.01,0.0032,0.1,100,0.2666666805744171,6.7409915924072275,0
28,0.01,0.0032,0.1,500,0.5333333611488342,8.721358060836794,1
29,0.01,0.0032,0.1,2500,0.9666666388511658,19.13531231880188,2
30,0.01,0.0032,1.0,100,0.2666666805744171,6.992697477340697,0
31,0.01,0.0032,1.0,500,0.7333333492279053,8.820126295089723,1
32,0.01,0.0032,1.0,2500,0.5333333611488342,19.228787422180176,1
33,0.01,0.0032,10.0,100,0.2666666805744171,6.621476888656616,0
34,0.01,0.0032,10.0,500,0.2666666805744171,9.273364305496218,0
35,0.01,0.0032,10.0,2500,0.2666666805744171,19.34572196006775,0
36,0.01,0.0128,0.01,100,0.6333333253860474,6.573558807373048,1
37,0.01,0.0128,0.01,500,0.5333333611488342,9.562076330184935,1
38,0.01,0.0128,0.01,2500,0.9666666388511658,19.25804328918457,2
39,0.01,0.0128,0.1,100,0.8999999761581421,6.506752014160156,2
40,0.01,0.0128,0.1,500,0.9666666388511658,8.833712577819824,2
41,0.01,0.0128,0.1,2500,0.9333333373069764,19.202391624450684,2
42,0.01,0.0128,1.0,100,0.5666666626930237,6.5920777320861825,1
43,0.01,0.0128,1.0,500,1.0,8.757007598876951,2
44,0.01,0.0128,1.0,2500,0.9666666388511658,19.342064380645756,2
45,0.01,0.0128,10.0,100,0.5333333611488342,6.661964416503906,1
46,0.01,0.0128,10.0,500,0.2666666805744171,8.710038423538206,0
