,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
0,0.01,0.0002,0.01,100,0.4666666686534882,6.709321260452271,0
1,0.01,0.0002,0.01,500,0.5666666626930237,10.116145133972168,1
2,0.01,0.0002,0.01,2500,0.4666666686534882,20.87325525283813,0
3,0.01,0.0002,0.1,100,0.7333333492279053,8.113105773925781,1
4,0.01,0.0002,0.1,500,0.0,10.007829189300537,0
5,0.01,0.0002,0.1,2500,0.4333333373069763,21.253207445144653,0
6,0.01,0.0002,1.0,100,0.4666666686534882,7.503400087356567,0
7,0.01,0.0002,1.0,500,0.20000000298023224,10.979249715805054,0
8,0.01,0.0002,1.0,2500,0.2666666805744171,23.54429817199707,0
9,0.01,0.0002,10.0,100,0.2666666805744171,7.820700407028197,0
10,0.01,0.0002,10.0,500,0.4666666686534882,12.203452110290527,0
11,0.01,0.0002,10.0,2500,0.2666666805744171,21.985253095626828,0
12,0.01,0.0008,0.01,100,0.2666666805744171,7.261950492858888,0
13,0.01,0.0008,0.01,500,0.5333333611488342,9.6078200340271,1
14,0.01,0.0008,0.01,2500,0.3333333432674408,24.221181154251102,0
15,0.01,0.0008,0.1,100,0.2666666805744171,7.045164108276367,0
16,0.01,0.0008,0.1,500,0.2666666805744171,10.149916887283323,0
17,0.01,0.0008,0.1,2500,0.7333333492279053,24.285463571548465,1
18,0.01,0.0008,1.0,100,0.4666666686534882,9.875803470611572,0
19,0.01,0.0008,1.0,500,0.2666666805744171,14.344054222106935,0
20,0.01,0.0008,1.0,2500,0.5666666626930237,23.831671476364136,1
21,0.01,0.0008,10.0,100,0.5333333611488342,8.537384271621704,1
22,0.01,0.0008,10.0,500,0.5333333611488342,10.657368898391725,1
23,0.01,0.0008,10.0,2500,0.2666666805744171,25.87379503250122,0
24,0.01,0.0032,0.01,100,0.6000000238418579,8.457507133483888,1
25,0.01,0.0032,0.01,500,0.8000000119209291,10.96893548965454,2
26,0.01,0.0032,0.01,2500,0.9666666388511658,26.49353384971619,2
27,0.01,0.0032,0.1,100,0.5333333611488342,7.85665488243103,1
28,0.01,0.0032,0.1,500,0.6333333253860474,10.573103666305544,1
29,0.01,0.0032,0.1,2500,0.9666666388511658,23.72858309745789,2
30,0.01,0.0032,1.0,100,0.5666666626930237,11.008527517318726,1
31,0.01,0.0032,1.0,500,0.8000000119209291,13.602553606033325,2
32,0.01,0.0032,1.0,2500,0.9666666388511658,27.313090324401852,2
33,0.01,0.0032,10.0,100,0.2333333343267441,10.045592308044434,0
34,0.01,0.0032,10.0,500,0.2666666805744171,12.413535356521606,0
35,0.01,0.0032,10.0,2500,0.2666666805744171,26.29054999351501,0
36,0.01,0.0128,0.01,100,0.5,6.770565748214723,1
37,0.01,0.0128,0.01,500,0.9666666388511658,9.298083305358887,2
38,0.01,0.0128,0.01,2500,0.9666666388511658,21.41287112236023,2
39,0.01,0.0128,0.1,100,0.9666666388511658,8.051305770874022,2
40,0.01,0.0128,0.1,500,0.9333333373069764,9.91391587257385,2
